MOVIES,IMDB-RATING,NUMBER OF LIKES,NUMBER OF DOWNLOADS
Welcome to the North (2012),5.3,10,"24,745"
Bright Lights: Starring Carrie Fisher and Debbie Reynolds (2016),8 ,,
The Happiest Day in the Life of Olli Mäki (2016),7.2,,
Golden Exits (2017),6 ,7,"32,421"
Carnera: The Walking Mountain (2008),5.6,,
A Stand Up Guy (2016),4.6,15,"39,289"
Chris Rock: Tamborine (2018),6.6,,
The Red Turtle (2016),7.6,39,"92,011"
My Life as a Zucchini (2016),7.8,39,"118,170"
Tragedy Girls (2017),6 ,14,"56,661"
I Am Not a Witch (2017),6.7,11,"37,976"
Columbus (2017),7.3,25,"68,579"
Polina (2016),6.8,21,"51,914"
The Scent of Rain & Lightning (2017),5.1,,
Your Name (2016),8.5,138,"198,869"
The Adventurers (2017),5.7,46,"152,207"
Menashe (2017),6.5,8,"30,401"
Mountain (2017),7.3,25,"81,406"
Hellraiser: Judgment (2018),4.3,,
Newness (2017),6.4,34,"118,877"
Kedi (2016),7.7,39,"71,003"
Dawson City: Frozen Time (2016),7.6,,
Good Time (2017),7.3,28,"123,321"
The Gateway (2018),5.7,41,"182,305"
The Wilde Wedding (2017),4.8,11,"56,257"
"Three Billboards Outside Ebbing, Missouri (2017)",8.3,,
Jagga Jasoos (2017),6.5,54,"162,105"
Logan Lucky (2017),7.1,176,"738,613"
Just Getting Started (2017),4 ,52,"161,297"
Mudbound (2017),7.5,26,"120,493"
I Am Not Your Negro (2016),7.8,41,"58,277"
The Salesman (2016),7.9,37,"119,180"
Final Portrait (2017),6.3,15,"53,227"
Sayonara (1957),7.2,6,"21,412"
Teenage Cocktail (2016),5.8,20,"63,024"
Blood of My Blood (2015),6.2,5,"20,503"
Alien Invasion: S.U.M.1 (2017),3.8,,
Sophie and the Rising Sun (2016),6.5,5,"36,360"
In the Family (2011),7.1,8,"36,865"
Diverge (2016),4.5,15,"61,408"
Contemporary Color (2016),6.3,3,"15,150"
Frankie and Johnny (1966),5.7,0,"16,564"
